Disease,Symptoms,Medicines
Common Cold,"runny nose, sneezing, sore throat, mild cough, congestion","paracetamol, cetirizine, saline nasal spray"
Influenza,"high fever, body aches, chills, dry cough, fatigue, headache","oseltamivir, paracetamol, rest and fluids"
Migraine,"throbbing headache, nausea, sensitivity to light, sensitivity to sound, aura","ibuprofen, sumatriptan, rest in dark room"
Gastroenteritis,"diarrhea, vomiting, abdominal cramps, mild fever, dehydration risk","oral rehydration salts, loperamide, ondansetron"
Allergic Rhinitis,"sneezing, itchy eyes, watery nose, nasal congestion, seasonal triggers","loratadine, fluticasone nasal spray, saline rinse"
Urinary Tract Infection,"burning urination, frequent urination, lower abdominal pain, cloudy urine","nitrofurantoin, cranberry hydration, phenazopyridine"
Tension Headache,"band-like head pressure, neck tightness, stress-related pain, no aura","ibuprofen, acetaminophen, relaxation"
Asthma Exacerbation,"wheezing, shortness of breath, chest tightness, coughing at night","salbutamol inhaler, inhaled corticosteroid, seek urgent care if severe"
Type 2 Diabetes Symptoms,"increased thirst, frequent urination, fatigue, blurred vision, slow healing","metformin, lifestyle measures, physician-guided therapy"
Anemia,"fatigue, pallor, shortness of breath on exertion, dizziness","iron supplements, folate, treat underlying cause"
